freq,Lengthening,Phase 13(deg),Phase 32 (deg),ϕ,V
100MHz,3600,-21.73134803837622,-87.13018816027524,-65.39884,1.2188
100MHz,3000,-21.85451597915233,-81.26112301530604,-59.40661,1.2819
100MHz,2500,-21.87050001983439,-76.17462522641446,-54.30413,1.3348
100MHz,2000,-21.90213239962637,-71.11522869021496,-49.2131,1.3875
100MHz,1500,-21.84561601782219,-66.09399726937753,-44.24838,1.4404
100MHz,1000,-21.88053287461153,-61.04408477586475,-39.16355,1.4932
100MHz,500,-21.87127486954760,-56.01945823250108,-34.14818,1.5460
30MHz,0000,-6.633800873256752,2.287555663538826,8.921357,1.7600
30MHz,1000,-6.671279854031329,-0.7229175427163374,5.948362,1.7917
30MHz,2000,-6.695283513535738,-3.791224854013012,2.904059,1.8328
30MHz,3000,-6.708892563426559,-6.810924102184221,-0.1020315,1.8946
30MHz,3600,-6.696668501207108,-8.617634388616663,-1.920966,1.886
