% TOMAS Density and Temperature profiles for Hydrogen ICRH
% X=0 corresponds to the plasma outer radius, X>0 towards the plasma centre.
% X=0 corresponds to R=[0.78]m
%
% Column headers:
%	 X [m] 	 ne [m^-3] 	 Te [eV]
0	1.49523873857146e+16	12.1601338216492
0.005	1.47315200393953e+16	12.1731443344902
0.01	1.45176035749123e+16	12.1925036067119
0.015	1.43146966348454e+16	12.2206178292323
0.02	1.41304962220846e+16	12.2606435663516
0.025	1.39785531791568e+16	12.3166557719179
0.03	1.3880941592523e+16	12.3938284052542
0.035	1.38707174253321e+16	12.4986186010854
0.04	1.39928886044846e+16	12.6389411626688
0.045	1.43020972391444e+16	12.8243156188644
0.05	1.48551958237275e+16	13.0659636113811
0.055	1.56978328978612e+16	13.3768305075758
0.06	1.68462468562732e+16	13.7715025496319
0.065	1.82683107627601e+16	14.2659903210082
0.07	1.98703651933801e+16	14.8773516114892
0.075	2.14969890591825e+16	15.623132569228
0.08	2.29484080249139e+16	16.5206157905666
0.085	2.40147966815024e+16	17.5858778025251
0.09	2.4520051850837e+16	18.8326758410745
0.095	2.43626267014057e+16	20.2712039544869
0.1	2.35404025196388e+16	21.9067797073049
0.105	2.21512077142277e+16	23.7385430359676
0.11	2.03688058950745e+16	25.7582656406532
0.115	1.84024644587917e+16	27.949380082855
0.12	1.64530394755494e+16	30.2863400724044
0.125	1.46781092079304e+16	32.7344153940546
0.13	1.31738317893574e+16	35.2500055634691
0.135	1.19745314192333e+16	37.7815258240096
0.14	1.10654799058206e+16	40.2708790636844
0.145	1.04017581160336e+16	42.6554805694588
0.15	9.92658939945921e+15	44.8707533369998
0.155	9.58498606742366e+15	46.8529648019437
0.16	9.33140597789711e+15	48.5422364939738
0.165	9.13224221243171e+15	49.8855310049023
0.17	8.96494753975376e+15	50.8394095644532
0.175	8.81560655871137e+15	51.3723606291246
0.18	8.67625815183572e+15	51.4665254679478
0.185	8.54265563554156e+15	51.1186889559613
0.19	8.41267519497083e+15	50.3404589051754
0.195	8.28531366811875e+15	49.1576199815424
0.2	8.16011739779067e+15	47.6087123655077
0.205	8.03688405991532e+15	45.7429444349026
0.21	7.91551895090166e+15	43.6175971080732
0.215	7.79597069526612e+15	41.2951105986065
0.22	7.67820444448435e+15	38.8400595121522
0.225	7.56219143486028e+15	36.3162188225356
0.23	7.44790517507201e+15	33.7839026909823
0.235	7.33532013792723e+15	31.29772348159
0.24	7.22441133615749e+15	28.9048740848927
0.245	7.11515419052663e+15	26.643987848301
0.25	7.0075244886484e+15	24.544582094897
0.255	6.90149837028497e+15	22.6270478820972
0.26	6.79705231995148e+15	20.9031137725482
0.265	6.69416316145647e+15	19.3766871235002
0.27	6.59280805296429e+15	18.0449635302918
0.275	6.49296448222846e+15	16.8996930888916
0.28	6.39461026191301e+15	15.9284995417299
0.285	6.29772352498386e+15	15.116162908593
0.29	6.20228272016478e+15	14.4457953106201
0.295	6.10826660745754e+15	13.8998608056937
0.3	6.01565425372362e+15	13.4610108882771
0.305	5.92442502832819e+15	13.1127260653423
0.31	5.83455859884403e+15	12.8397693791055
0.315	5.7460349268163e+15	12.6284692709483
0.32	5.65883426358562e+15	12.466856659778
0.325	5.57293714616968e+15	12.3446848506439
0.33	5.48832439320211e+15	12.2533614901191
0.335	5.40497710092853e+15	12.1858199911651
0.34	5.32287663925789e+15	12.1363544448222
0.345	5.24200464786924e+15	12.1004377463848
0.35	5.16234303237305e+15	12.0745381007433
0.355	5.08387396052548e+15	12.0559446992675
0.36	5.00657985849666e+15	12.0426094902136
0.365	4.93044340718993e+15	12.0330087678281
0.37	4.85544753861364e+15	12.0260258388587
0.375	4.7815754323025e+15	12.020854260803
0.38	4.70881051179036e+15	12.0169200004944
0.385	4.63713644113119e+15	12.01382022224
0.39	4.56653712146952e+15	12.0112761613112
0.395	4.4969966876582e+15	12.0090975574109
0.4	4.42849950492435e+15	12.0071563155892
0.405	4.3610301655814e+15	12.0053673504526
0.41	4.29457348578743e+15	12.0036748950991
0.415	4.22911450234871e+15	12.0020428791809
0.42	4.16463846956864e+15	12.00044827633
0.425	4.10113085614024e+15	11.9988765772428
0.43	4.03857734208256e+15	11.9973187567631
0.435	3.9769638157199e+15	11.9957692726217
0.44	3.91627637070376e+15	11.9942247645032
0.445	3.8565013030762e+15	11.9926832207034
0.45	3.79762510837473e+15	11.9911434519806
0.455	3.7396344787776e+15	11.9896047640688
0.46	3.68251630028954e+15	11.9880667566928
0.465	3.62625764996678e+15	11.9865292019263
0.47	3.57084579318125e+15	11.9849919715778
0.475	3.5162681809229e+15	11.9834549944303
0.48	3.46251244714068e+15	11.9819182313996
0.485	3.40956640612018e+15	11.9803816612944
0.49	3.35741804989864e+15	11.9788452727609
0.495	3.3060555457161e+15	11.9773090597865
